Date,Order_id,Product
01-01-2018,1,yogurt
01-01-2018,1,pork
01-01-2018,1,sandwich bags
01-01-2018,1,lunch meat
01-01-2018,1,all- purpose
01-01-2018,1,flour
01-01-2018,1,soda
01-01-2018,1,butter
01-01-2018,1,beef
01-01-2018,1,aluminum foil
01-01-2018,1,all- purpose
01-01-2018,1,dinner rolls
01-01-2018,1,shampoo
01-01-2018,1,all- purpose
01-01-2018,1,mixes
01-01-2018,1,soap
01-01-2018,1,laundry detergent
01-01-2018,1,ice cream
01-01-2018,1,dinner rolls
01-01-2018,2,toilet paper
01-01-2018,2,shampoo
01-01-2018,2,hand soap
01-01-2018,2,waffles
01-01-2018,2,cheeses
01-01-2018,2,mixes
01-01-2018,2,milk
01-01-2018,2,sandwich bags
01-01-2018,2,laundry detergent
01-01-2018,2,dishwashing liquid/detergent
01-01-2018,2,waffles
01-01-2018,2,individual meals
01-01-2018,2,hand soap
01-01-2018,2,individual meals
01-01-2018,2,yogurt
01-01-2018,2,cereals
01-01-2018,2,shampoo
01-01-2018,2,aluminum foil
01-01-2018,2,tortillas
01-01-2018,2,mixes
02-01-2018,3,soda
02-01-2018,3,pork
02-01-2018,3,soap
02-01-2018,3,ice cream
02-01-2018,3,toilet paper
02-01-2018,3,dinner rolls
02-01-2018,3,hand soap
02-01-2018,3,spaghetti sauce
02-01-2018,3,milk
02-01-2018,3,ketchup
02-01-2018,3,sandwich loaves
02-01-2018,3,poultry
02-01-2018,3,toilet paper
02-01-2018,3,ice cream
02-01-2018,3,ketchup
02-01-2018,3,laundry detergent
02-01-2018,3,spaghetti sauce
02-01-2018,3,bagels
02-01-2018,3,soap
02-01-2018,3,ice cream
02-01-2018,3,shampoo
02-01-2018,3,lunch meat
02-01-2018,3,cereals
02-01-2018,3,spaghetti sauce
02-01-2018,3,pork
02-01-2018,3,cheeses
02-01-2018,3,eggs
02-01-2018,4,cereals
02-01-2018,4,juice
02-01-2018,4,lunch meat
02-01-2018,4,soda
02-01-2018,4,toilet paper
02-01-2018,4,all- purpose
02-01-2018,5,sandwich loaves
02-01-2018,5,pasta
02-01-2018,5,tortillas
02-01-2018,5,mixes
02-01-2018,5,hand soap
02-01-2018,5,toilet paper
02-01-2018,5,paper towels
02-01-2018,5,flour
02-01-2018,5,pork
02-01-2018,5,poultry
02-01-2018,5,eggs
02-01-2018,5,pork
02-01-2018,5,spaghetti sauce
02-01-2018,5,milk
02-01-2018,5,waffles
02-01-2018,5,individual meals
02-01-2018,5,dinner rolls
02-01-2018,5,all- purpose
02-01-2018,5,soda
02-01-2018,5,yogurt
02-01-2018,6,laundry detergent
02-01-2018,6,toilet paper
02-01-2018,6,eggs
02-01-2018,6,toilet paper
02-01-2018,6,bagels
02-01-2018,6,dishwashing liquid/detergent
02-01-2018,6,cereals
02-01-2018,6,paper towels
02-01-2018,6,laundry detergent
02-01-2018,6,butter
02-01-2018,6,cereals
02-01-2018,6,bagels
02-01-2018,6,paper towels
02-01-2018,6,shampoo
02-01-2018,6,toilet paper
02-01-2018,6,soap
02-01-2018,6,soap
02-01-2018,6,pasta
02-01-2018,6,coffee/tea
02-01-2018,6,poultry
02-01-2018,6,bagels
02-01-2018,6,aluminum foil
02-01-2018,6,butter
02-01-2018,6,spaghetti sauce
02-01-2018,6,ketchup
02-01-2018,6,all- purpose
02-01-2018,6,milk
03-01-2018,7,individual meals
03-01-2018,7,paper towels
03-01-2018,7,tortillas
03-01-2018,7,milk
03-01-2018,7,ice cream
03-01-2018,7,juice
03-01-2018,7,dishwashing liquid/detergent
03-01-2018,7,soap
03-01-2018,7,sandwich bags
03-01-2018,7,pasta
03-01-2018,7,ketchup
03-01-2018,7,all- purpose
03-01-2018,7,yogurt
03-01-2018,7,mixes
03-01-2018,7,mixes
03-01-2018,7,toilet paper
03-01-2018,7,beef
03-01-2018,7,sandwich bags
03-01-2018,7,eggs
03-01-2018,7,spaghetti sauce
03-01-2018,7,fruits
03-01-2018,7,toilet paper
04-01-2018,8,ice cream
04-01-2018,8,juice
04-01-2018,8,paper towels
04-01-2018,8,waffles
04-01-2018,8,soda
04-01-2018,8,cheeses
04-01-2018,8,poultry
04-01-2018,8,toilet paper
04-01-2018,9,juice
04-01-2018,9,poultry
04-01-2018,9,coffee/tea
04-01-2018,9,coffee/tea
04-01-2018,9,dishwashing liquid/detergent
05-01-2018,10,ketchup
05-01-2018,10,coffee/tea
05-01-2018,10,toilet paper
05-01-2018,10,pork
05-01-2018,10,flour
05-01-2018,10,milk
05-01-2018,10,soda
05-01-2018,10,dishwashing liquid/detergent
05-01-2018,10,eggs
05-01-2018,10,tortillas
05-01-2018,10,tortillas
05-01-2018,10,fruits
05-01-2018,10,sugar
05-01-2018,10,soap
05-01-2018,10,dishwashing liquid/detergent
05-01-2018,10,juice
05-01-2018,10,sandwich loaves
05-01-2018,10,poultry
05-01-2018,10,eggs
05-01-2018,10,flour
05-01-2018,10,bagels
05-01-2018,10,soda
05-01-2018,10,bagels
05-01-2018,10,soda
05-01-2018,10,beef
05-01-2018,10,coffee/tea
05-01-2018,10,dishwashing liquid/detergent
05-01-2018,10,cheeses
05-01-2018,10,beef
05-01-2018,10,soap
05-01-2018,10,lunch meat
05-01-2018,10,pork
05-01-2018,10,waffles
05-01-2018,11,sandwich loaves
05-01-2018,11,ice cream
05-01-2018,11,soda
05-01-2018,11,bagels
05-01-2018,11,dishwashing liquid/detergent
05-01-2018,11,eggs
05-01-2018,11,sugar
05-01-2018,11,waffles
05-01-2018,11,individual meals
05-01-2018,11,toilet paper
05-01-2018,11,pasta
05-01-2018,11,sandwich loaves
05-01-2018,11,cheeses
05-01-2018,11,hand soap
05-01-2018,11,ketchup
05-01-2018,11,poultry
05-01-2018,11,dinner rolls
05-01-2018,11,dishwashing liquid/detergent
05-01-2018,11,coffee/tea
05-01-2018,11,milk
05-01-2018,11,shampoo
05-01-2018,11,ketchup
05-01-2018,11,sandwich loaves
05-01-2018,11,hand soap
05-01-2018,11,bagels
05-01-2018,11,flour
05-01-2018,11,pork
06-01-2018,12,pork
06-01-2018,12,tortillas
06-01-2018,12,pork
06-01-2018,12,shampoo
06-01-2018,12,lunch meat
06-01-2018,12,pasta
06-01-2018,12,juice
06-01-2018,12,bagels
06-01-2018,12,bagels
06-01-2018,12,laundry detergent
06-01-2018,12,yogurt
06-01-2018,12,sugar
06-01-2018,12,waffles
06-01-2018,12,hand soap
06-01-2018,12,hand soap
06-01-2018,12,butter
06-01-2018,12,juice
06-01-2018,12,spaghetti sauce
06-01-2018,12,flour
07-01-2018,13,sugar
07-01-2018,13,fruits
07-01-2018,13,all- purpose
07-01-2018,13,aluminum foil
07-01-2018,13,laundry detergent
07-01-2018,13,individual meals
07-01-2018,13,flour
07-01-2018,13,pork
07-01-2018,13,shampoo
07-01-2018,13,sugar
07-01-2018,13,aluminum foil
07-01-2018,13,shampoo
07-01-2018,13,soap
07-01-2018,13,bagels
07-01-2018,13,toilet paper
07-01-2018,13,juice
07-01-2018,13,ice cream
07-01-2018,13,ice cream
07-01-2018,13,sandwich loaves
07-01-2018,13,soap
07-01-2018,13,sugar
07-01-2018,13,paper towels
07-01-2018,14,fruits
07-01-2018,14,dinner rolls
07-01-2018,14,individual meals
07-01-2018,14,shampoo
07-01-2018,14,ketchup
07-01-2018,14,cereals
07-01-2018,14,sandwich bags
07-01-2018,14,laundry detergent
07-01-2018,14,sandwich loaves
07-01-2018,14,cheeses
07-01-2018,15,individual meals
07-01-2018,15,ice cream
07-01-2018,15,cereals
07-01-2018,15,paper towels
07-01-2018,15,bagels
07-01-2018,15,mixes
07-01-2018,15,lunch meat
07-01-2018,15,juice
07-01-2018,15,toilet paper
07-01-2018,15,cheeses
07-01-2018,15,paper towels
07-01-2018,15,paper towels
07-01-2018,15,juice
07-01-2018,15,aluminum foil
07-01-2018,15,fruits
07-01-2018,15,butter
07-01-2018,15,sandwich loaves
07-01-2018,15,tortillas
07-01-2018,15,spaghetti sauce
07-01-2018,15,hand soap
08-01-2018,16,sugar
08-01-2018,16,sandwich bags
08-01-2018,16,flour
08-01-2018,16,juice
08-01-2018,16,milk
08-01-2018,16,paper towels
08-01-2018,16,cereals
08-01-2018,16,sandwich bags
08-01-2018,16,pasta
08-01-2018,16,soda
08-01-2018,16,dishwashing liquid/detergent
08-01-2018,16,ice cream
08-01-2018,16,soap
08-01-2018,16,cheeses
08-01-2018,16,beef
08-01-2018,16,flour
08-01-2018,16,dinner rolls
08-01-2018,17,milk
08-01-2018,17,hand soap
08-01-2018,17,pasta
08-01-2018,17,individual meals
08-01-2018,17,spaghetti sauce
08-01-2018,17,cereals
08-01-2018,17,sandwich loaves
08-01-2018,17,hand soap
08-01-2018,17,individual meals
08-01-2018,18,sandwich bags
08-01-2018,18,toilet paper
08-01-2018,18,bagels
08-01-2018,18,shampoo
08-01-2018,18,coffee/tea
09-01-2018,19,individual meals
09-01-2018,19,laundry detergent
09-01-2018,19,coffee/tea
09-01-2018,19,eggs
09-01-2018,19,aluminum foil
09-01-2018,19,beef
09-01-2018,19,juice
09-01-2018,19,flour
09-01-2018,19,sugar
09-01-2018,19,individual meals
09-01-2018,19,waffles
09-01-2018,19,bagels
09-01-2018,19,coffee/tea
09-01-2018,19,spaghetti sauce
09-01-2018,19,butter
09-01-2018,19,beef
10-01-2018,20,shampoo
10-01-2018,20,dishwashing liquid/detergent
10-01-2018,20,yogurt
10-01-2018,20,juice
10-01-2018,20,sugar
10-01-2018,20,soap
10-01-2018,20,sandwich loaves
10-01-2018,20,butter
10-01-2018,20,sandwich loaves
10-01-2018,20,coffee/tea
10-01-2018,20,ketchup
10-01-2018,20,aluminum foil
10-01-2018,20,dishwashing liquid/detergent
10-01-2018,20,mixes
10-01-2018,20,laundry detergent
10-01-2018,20,shampoo
10-01-2018,20,cheeses
10-01-2018,20,tortillas
10-01-2018,20,toilet paper
10-01-2018,20,hand soap
10-01-2018,20,paper towels
10-01-2018,20,beef
10-01-2018,20,individual meals
10-01-2018,20,toilet paper
10-01-2018,20,soda
10-01-2018,20,cheeses
10-01-2018,20,aluminum foil
10-01-2018,20,toilet paper
10-01-2018,20,soap
10-01-2018,20,poultry
10-01-2018,20,aluminum foil
11-01-2018,21,waffles
11-01-2018,21,fruits
11-01-2018,21,all- purpose
11-01-2018,21,pork
11-01-2018,21,juice
11-01-2018,21,bagels
11-01-2018,21,mixes
11-01-2018,22,cheeses
11-01-2018,22,cereals
11-01-2018,22,sugar
11-01-2018,22,bagels
11-01-2018,22,soda
11-01-2018,23,aluminum foil
11-01-2018,23,bagels
11-01-2018,23,shampoo
11-01-2018,23,shampoo
11-01-2018,23,dishwashing liquid/detergent
11-01-2018,23,cereals
11-01-2018,23,cheeses
11-01-2018,23,flour
11-01-2018,23,lunch meat
11-01-2018,23,pasta
11-01-2018,23,soda
11-01-2018,23,toilet paper
11-01-2018,23,poultry
11-01-2018,23,coffee/tea
11-01-2018,23,flour
11-01-2018,23,all- purpose
11-01-2018,23,waffles
11-01-2018,23,coffee/tea
11-01-2018,23,milk
11-01-2018,23,yogurt
11-01-2018,23,mixes
11-01-2018,23,pasta
11-01-2018,23,dishwashing liquid/detergent
11-01-2018,23,dishwashing liquid/detergent
11-01-2018,23,dishwashing liquid/detergent
11-01-2018,24,fruits
11-01-2018,24,all- purpose
11-01-2018,24,pasta
11-01-2018,24,cheeses
11-01-2018,24,juice
11-01-2018,24,sandwich bags
11-01-2018,24,sandwich loaves
11-01-2018,24,coffee/tea
11-01-2018,24,juice
11-01-2018,24,lunch meat
11-01-2018,24,spaghetti sauce
11-01-2018,24,paper towels
11-01-2018,24,hand soap
11-01-2018,24,soap
11-01-2018,24,ice cream
11-01-2018,24,individual meals
11-01-2018,24,ketchup
11-01-2018,24,butter
11-01-2018,24,poultry
11-01-2018,24,cheeses
11-01-2018,24,bagels
11-01-2018,24,all- purpose
11-01-2018,24,ketchup
11-01-2018,24,waffles
11-01-2018,24,soap
11-01-2018,25,bagels
11-01-2018,25,sugar
11-01-2018,25,pork
11-01-2018,25,sandwich loaves
11-01-2018,25,tortillas
11-01-2018,25,ice cream
11-01-2018,25,all- purpose
11-01-2018,25,yogurt
